practice_1,practice_2,practice_3,sprint_quali,sprint_race,qualifying,driver_number_1,driver_number_2,driver_number_3,driver_number_4,driver_number_10,driver_number_11,driver_number_14,driver_number_16,driver_number_18,driver_number_20,driver_number_21,driver_number_22,driver_number_23,driver_number_24,driver_number_27,driver_number_30,driver_number_31,driver_number_38,driver_number_40,driver_number_43,driver_number_44,driver_number_50,driver_number_55,driver_number_63,driver_number_77,driver_number_81,race_name_FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,race_name_FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024,race_name_FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,race_name_FORMULA 1 AWS GRAND PRIX DU CANADA 2024,race_name_FORMULA 1 AZERBAIJAN GRAND PRIX 2023,race_name_FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,race_name_FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024,race_name_FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2023,race_name_FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2023,race_name_FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024,race_name_FORMULA 1 GRAND PRIX DE MONACO 2023,race_name_FORMULA 1 GRAND PRIX DE MONACO 2024,race_name_FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,race_name_FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,race_name_FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2023,race_name_FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024,race_name_FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2023,race_name_FORMULA 1 HUNGARIAN GRAND PRIX 2024,race_name_FORMULA 1 LENOVO CHINESE GRAND PRIX 2024,race_name_FORMULA 1 LENOVO GRANDE PRÊMIO DE SÃO PAULO 2024,race_name_FORMULA 1 LENOVO JAPANESE GRAND PRIX 2023,race_name_FORMULA 1 LENOVO UNITED STATES GRAND PRIX 2023,race_name_FORMULA 1 MSC CRUISES BELGIAN GRAND PRIX 2023,race_name_FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024,race_name_FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024,race_name_FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2023,race_name_FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024,race_name_FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,race_name_FORMULA 1 PIRELLI UNITED STATES GRAND PRIX 2024,race_name_FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024,race_name_FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024,race_name_FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024,race_name_FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,race_name_FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2023,race_name_FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,race_name_FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024,race_name_FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024,race_name_FORMULA 1 ROLEX GRANDE PRÊMIO DE SÃO PAULO 2023,race_name_FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,race_name_FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2023,race_name_FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024,race_name_FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,race_name_FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024,practice_avg,practice_best
20.0,14.0,8.0,10.5,10.45662100456621,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.0,8.0
4.0,9.0,13.0,10.5,10.45662100456621,11.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.666666666666666,4.0
18.0,20.0,18.0,10.5,10.45662100456621,16.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.666666666666668,18.0
12.0,15.0,9.0,10.5,10.45662100456621,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.0,9.0
13.0,18.0,16.0,10.5,10.45662100456621,14.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.666666666666666,13.0
1.0,3.0,3.0,10.5,10.45662100456621,2.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.3333333333333335,1.0
10.0,8.0,4.0,10.5,10.45662100456621,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.333333333333333,4.0
17.0,7.0,10.0,10.5,10.45662100456621,20.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.333333333333334,7.0
6.0,6.0,7.0,10.5,10.45662100456621,8.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.333333333333333,6.0
3.0,2.0,2.0,10.5,10.45662100456621,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.3333333333333335,2.0
3.0,2.0,3.0,10.5,10.45662100456621,3.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2.6666666666666665,2.0
11.0,9.0,6.0,10.5,10.45662100456621,2.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,8.666666666666666,6.0
5.0,5.0,11.0,10.5,10.45662100456621,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7.0,5.0
9.0,14.0,15.0,10.5,10.45662100456621,17.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12.666666666666666,9.0
15.0,8.0,13.0,10.5,10.45662100456621,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12.0,8.0
13.0,17.0,20.0,10.5,10.45662100456621,18.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,16.666666666666668,13.0
19.0,16.0,12.0,10.5,10.45662100456621,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,15.666666666666666,12.0
18.0,20.0,18.0,10.5,10.45662100456621,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,18.666666666666668,18.0
12.0,4.0,14.0,10.5,10.45662100456621,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10.0,4.0
16.0,15.0,17.0,10.5,10.45662100456621,13.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,16.0,15.0
7.0,10.0,10.0,10.5,10.45662100456621,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,9.0,7.0
20.0,12.0,7.0,10.5,10.45662100456621,19.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,13.0,7.0
17.0,18.0,16.0,10.5,10.45662100456621,20.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,17.0,16.0
14.0,19.0,8.0,10.5,10.45662100456621,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,13.666666666666666,8.0
10.0,13.0,19.0,10.5,10.45662100456621,16.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,14.0,10.0
2.0,3.0,2.0,10.5,10.45662100456621,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2.3333333333333335,2.0
6.0,11.0,5.0,10.5,10.45662100456621,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7.333333333333333,5.0
8.0,6.0,9.0,10.5,10.45662100456621,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7.666666666666667,6.0
4.0,7.0,4.0,10.5,10.45662100456621,6.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5.0,4.0
1.0,1.0,1.0,10.5,10.45662100456621,15.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0,1.0
4.0,1.0,2.0,10.5,10.45662100456621,4.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2.3333333333333335,1.0
5.0,2.0,13.0,10.5,10.45662100456621,7.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,6.666666666666667,2.0
9.0,4.0,4.0,10.5,10.45662100456621,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,5.666666666666667,4.0
11.0,18.0,12.0,10.5,10.45662100456621,8.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,13.666666666666666,11.0
13.0,9.0,11.0,10.5,10.45662100456621,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,11.0,9.0
14.0,17.0,19.0,10.5,10.45662100456621,15.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,16.666666666666668,14.0
19.0,15.0,10.0,10.5,10.45662100456621,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,14.666666666666666,10.0
18.0,12.0,15.0,10.5,10.45662100456621,19.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,15.0,12.0
16.0,6.0,3.0,10.5,10.45662100456621,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.333333333333334,3.0
20.0,19.0,18.0,10.5,10.45662100456621,14.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,19.0,18.0
6.0,5.0,7.0,10.5,10.45662100456621,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,6.0,5.0
7.0,8.0,20.0,10.5,10.45662100456621,13.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,11.666666666666666,7.0
15.0,20.0,17.0,10.5,10.45662100456621,18.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,17.333333333333332,15.0
12.0,14.0,14.0,10.5,10.45662100456621,16.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,13.333333333333334,12.0
17.0,11.0,16.0,10.5,10.45662100456621,12.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,14.666666666666666,11.0
3.0,7.0,6.0,10.5,10.45662100456621,20.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,5.333333333333333,3.0
2.0,13.0,8.0,10.5,10.45662100456621,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7.666666666666667,2.0
